Gene
Cenpm
Bub1b
Tuba1c
Ska1
Ccnb1
Spc24
Cdca5
Nsl1
Cdk1
Aurkb
Plk1
Birc5
Cdca8
Cenpp
Ube2c
Spdl1
Tubb4b
Ccne1
Rad21
Fbxo5
Hmmr
Bub3
Atp5d
Top2a
Pou2af1
