Gene
1190002H23Rik
Pif1
Otub2
Psrc1
Lrrc49
Ccnb2
Mnd1
Lgr5
Adhfe1
Pafah1b3
Hmmr
Tifa
Reln
OTTMUSG00000016644
Sepp1
Cdkn3
Gcnt3
Cdc20
Ube2c
A630023P12Rik
Serinc5
Cenpa
Ccnb1
Gcet2
Plk1
Cenpf
Tgfa
Tpx2
Depdc1b
Gpd1l
Polh
Cep55
Nek2
Zkscan16
Lmo4
1810010H24Rik
Gas2l3
Ptgr1
Aspm
Rnf125
Cxcr4
Kif20a
1700097N02Rik
Kif2c
A130040M12Rik
E130306D19Rik
Rabgap1l
Bub1
4930547N16Rik
C730049O14Rik
Nebl
Lig4
Neil1
Pde2a
Ehf
Racgap1
8430410A17Rik
Cdca8
Cdc14b
Cdc25c
Lipc
Mprip
Aurka
Gpsm2
Spdya
Akap12
Kif22
Birc5
Pfn2
Ddx19a
D2Ertd750e
OTTMUSG00000015563
D18Ertd653e
