Gene
Nrbf1
Pvt1
3110024A21Rik
Rasl2-9
Hrmt1l3
Wdr12
Bax
Dtymk
3010027G13Rik
4930470H18Rik
Acat2
Pold2
Eif3s9
Anp32b
3830408P06Rik
4632412I24Rik
Mcf2l
2610528E23Rik
1700009N14Rik
1700011K15Rik
Mrps18b
2700079K05Rik
1810015A11Rik
Mki67ip
2310040G17Rik
Supt3h
C1qbp
2810430M08Rik
Impdh2
Eif4e
Ran
2810014D17Rik
2610002K22Rik
Nola3
2700038L12Rik
2810004N23Rik
Snrpa
Nisch
Rps25
Slc25a19
Itgb4bp
1700001L05Rik
1810009K13Rik
D15Ertd747e
Strap
2310024N18Rik
Hk2
Mrpl35
2610028A01Rik
2610209A20Rik
Nutf2
Srpk1
Nme6
2810470K21Rik
1500010B24Rik
Hipk2
1700021I09Rik
Psmd11
Cdk4
Ldh3
Snrpf
Pbp
1500016H10Rik
Idh3a
Wdr5
Ndufab1
Mrpl15
2610043O12Rik
2810012D02Rik
Il4i1
Pycs
Timm13a
Eif1a
H2-D1
2610029K21Rik
4932434G09Rik
Snrpa1
Immt
Siat7d
1810029B16Rik
2010012C16Rik
Hdgf
1110007M04Rik
5033425B17Rik
Pdcd10
1500041N16Rik
Cbx5
2410003M04Rik
Sfxn1
2610012O22Rik
Rrs1
Mif
Fkbp1a
0610030G03Rik
1500031M22Rik
Lap3
Snrpd1
2610511E03Rik
Mrpl12
1500009K05Rik
Cyp51
2010110K24Rik
2310057D15Rik
Ak2
Shmt1
2410085M17Rik
2410011G03Rik
Prps1
Clns1a
1600012F09Rik
5730442A20Rik
Rcl1
A930005G04Rik
2700083B06Rik
Denr
1700017G19Rik
1110017C15Rik
1700018O18Rik
1810003N24Rik
2400002D02Rik
2410019A14Rik
2310061O04Rik
Fthfsdc1
5730591C18Rik
Ppia
Rars
G1p2
Ldh2
Aatf
1110004E09Rik
Tbrg4
Nup62
Slc25a5
Mtx2
1600022A19Rik
Gcs1
Nr6a1
Dim1
2810403L02Rik
D13Wsu123e
2310021G01Rik
D11Ertd175e
Prkcl
2310008H09Rik
Cad
Eif2s1
Nola1
Rbm8
Utf1
2410015N17Rik
Gemin6
Slc25a1
Eif5a
2610103M17Rik
2700023E23Rik
Cct8
Prkca
Rpl17
H2afz
2700064H14Rik
D10Ertd438e
Pmscl2
Il25
Pgam1
2410003M15Rik
Aasdhppt
Ddx39
1200009K13Rik
2410080P20Rik
Dhcr24
LOC381583
2610529I12Rik
4833420N02Rik
Drg2
Zrf2
2010317E03Rik
Mina
4833420K19Rik
Ppp5c
Psmb7
5730454C12Rik
Kpnb3
Cycs
Hsp105
1810014L12Rik
Lyar
Rps27l
1300006N24Rik
2610205E22Rik
2310047G20Rik
Atic
2310056P07Rik
2510029B14Rik
Nol5a
Hs1bp1
2400004H09Rik
Hint
1500003O22Rik
Nup37
Hnrpab
2900052H09Rik
Snrpd3
1810044O22Rik
Cd79a
Narg1
1110054H05Rik
Rcn
2010309E21Rik
Ddx18
Wdr18
Pitrm1
Ckn1
Mrps28
Banf1
Timm8a
Psmd14
2610201A13Rik
Tfdp1
Akap1
Gtf2i
LOC228812
Smfn
Mrpl50
Ifrd2
Lman1
Fdft1
2610019E17Rik
3000003F02Rik
Pip5k3
Tnfrsf13c
Grap
Sdccag1
Wbscr22
Cbx1
Cri1
Slc38a2
Rp2h
Twistnb
Pard6g
Gfpt1
Cetn3
Kai1
Baz1a
Bcl10
Rab6ip1
Trnt1
Rbpms
Nfkb2
Traf4
