Gene
Egr2
Ccnd2
Egr1
Plscr1
Socs3
Lifr
Il4i1
Bcl2a1a
Bcl2a1b
Bcl2a1d
Ccr6
Cd83
Hhex
S1pr3
9630010G10Rik
Dock10
Hivep3
Samsn1
Myc
Irf4
Gimap4
Gpr183
Cd69
Ptger4
Marcks
Fscn1
Ier2
Snn
Bhlhe40
Nfkbia
Slpi
Ifi30
Pus7
Matr3
Fam55b
Cd86
Rapgef4
Rilpl2
Gadd45g
Cfp
Slamf1
Tyms
Cd40
Mdn1
C920008N22Rik
