Gene
1700009N14Rik
Aatf
Abce1
Abt1
Bms1
Bop1
Brix1
Bud23
Bysl
C1d
C1qbp
Cdkn2a
Cebpz
Chd7
Cul4a
Cul4b
Dcaf13
Ddx3x
Ddx10
Ddx17
Ddx18
Ddx21
Ddx27
Ddx28
Ddx31
Ddx47
Ddx49
Ddx51
Ddx52
Ddx54
Ddx56
Dhx29
Dhx30
Dhx37
Dimt1
Dis3
Dkc1
Drosha
Ebna1bp2
Efl1
Eif2a
Eif6
Emg1
Eral1
Ercc2
Eri1
Eri3
Esf1
Exosc1
Exosc2
Exosc3
Exosc4
Exosc5
Exosc6
Exosc7
Exosc8
Exosc9
Exosc10
Fam207a
Fastkd2
Fbl
Fbll1
Fcf1
Fdxacb1
Frg1
Ftsj3
Gar1
Glul
Gm6096
Gm14214
Gm20509
Gm45736
Gnl2
Gnl3l
Gtf2h5
Gtf3a
Gtpbp4
Gtpbp10
Heatr1
Heatr3
Helq
Imp3
Imp4
Ipo4
Ipo9
Isg20
Isg20l2
Kat2b
Kri1
Krr1
Las1l
Lsg1
Lsm6
LTO1
Ltv1
Lyar
Mak16
Malsu1
Mdn1
Mettl5
Mettl15
Mettl16
Mphosph6
Mphosph10
Mpv17l2
Mrm1
Mrm2
Mrm3
Mrpl1
Mrpl10
Mrpl11
Mrpl20
Mrpl22
Mrpl36
Mrps2
Mrps7
Mrps11
Mrto4
mt-Rnr1
mt-Rnr2
Mterf3
Mterf4
Mtrex
Mybbp1a
Naf1
Nat10
Ncl
Ngdn
Nhp2
Nifk
Nip7
Nle1
Nmd3
Nob1
Noc2l
Noc4l
Nol6
Nol8
Nol9
Nol10
Nol11
Nom1
Nop2
Nop10
Nop14
Nop16
Nop53
Nop56
Nop58
Npm1
Npm3
Nsa2
Nsun3
Nsun4
Nsun5
Nup88
Nvl
Pa2g4
Pak1ip1
Pdcd11
Pes1
Pih1d1
Pih1d2
Pin4
Pop4
Pop5
Pop7
Ppan
Prkdc
Pten
Pwp1
Pwp2
Ran
Rasl2-9
Rbfa
Rbis
Rcl1
Rexo4
Riok1
Riok2
Riok3
Riox1
Riox2
Rnasel
Rpf1
Rpf2
Rpl3
Rpl3l
Rpl5
Rpl6
Rpl7
Rpl7a
Rpl7l1
Rpl10
Rpl10a
Rpl10l
Rpl11
Rpl12
Rpl14
Rpl23a
Rpl24
Rpl26
Rpl27
Rpl35
Rpl35a
Rpl38
Rplp0
Rpp25
Rpp30
Rpp38
Rpp40
Rps2
Rps5
Rps6
Rps7
Rps8
Rps10
Rps14
Rps15
Rps16
Rps17
Rps19
Rps21
Rps24
Rps25
Rps27
Rps27l
Rps28
Rpsa
Rpusd1
Rpusd2
Rrn3
Rrp1
Rrp1b
Rrp7a
Rrp8
Rrp9
Rrp12
Rrp15
Rrp36
Rrs1
Rsl1d1
Rsl24d1
Sart1
Sbds
Sdad1
Shq1
Sirt7
Snu13
Srfbp1
Surf6
Suv39h1
Tbl3
Tent4b
Tfb1m
Tfb2m
Trmt112
Tsc1
Tsr1
Tsr2
Tsr3
Urb1
Urb2
Usp36
Utp3
Utp4
Utp6
Utp11
Utp14a
Utp14b
Utp15
Utp18
Utp20
Utp23
Utp25
Wbp11
Wdr3
Wdr12
Wdr18
Wdr36
Wdr43
Wdr46
Wdr55
Wdr74
Wdr75
Xpo1
Xrcc5
Ybey
Zcchc4
Zfp593
Zfp622
Znhit3
Znhit6
