Gene
Cbx5
Aurkb
Cks1b
Cks2
Hn1
Hmgb2
Anp32e
Lbr
Tmpo
Top2a
Tacc3
Tubb4b
Ncapd2
Rangap1
Cdk1
Smc4
Kif20b
Cdca8
Ckap2
Ndc80
Dlgap5
Hjurp
Ckap5
Bub1
Ckap2l
Ect2
Kif11
Birc5
Cdca2
Nuf2
Cdca3
Nusap1
Ttk
Aurka
Mki67
Fam64a
Ccnb2
Tpx2
Anln
Kif2c
Cenpe
Gtse1
Kif23
Cdc20
Ube2c
Cenpf
Cenpa
Hmmr
Ctcf
Psrc1
Cdc25c
Nek2
Gas2l3
G2e3
