Gene
Abcd1
Abcd2
Abcd3
Acaa1a
Acaa1b
Acaa2
Acacb
Acad11
Acadl
Acadm
Acads
Acadvl
Acat1
Acat2
Acat3
Acox1
Acox2
Acox3
Acoxl
Acsbg2
Acsl5
Adipoq
Akt1
Akt2
Auh
Bdh2
Cnr1
Cpt1a
Cpt2
Crot
Dbi
Decr1
Echdc1
Echdc2
Echs1
Eci1
Eci2
Eci3
Ehhadh
Etfa
Etfb
Etfbkmt
Etfdh
Fabp1
Gcdh
Hadh
Hadha
Hadhb
Hsd17b4
Irs1
Irs2
Ivd
Lep
Lonp2
Mfsd2a
Mlycd
Mtor
Pex2
Pex5
Pex7
Plin5
Scp2
Sesn2
Slc25a17
Slc27a2
Twist1
Tysnd1
