Gene
Acss1
Acss2
Adh1
Adh4
Adh5
Adh7
Adpgk
Aldh1a1
Aldh1a3
Aldh1b1
Aldh2
Aldh3a1
Aldh3a2
Aldh3b1
Aldh3b2
Aldh7a1
Aldh9a1
Aldoa
Aldob
Aldoc
Bpgm
Dlat
Dld
Eno1
Eno1b
Eno2
Eno3
Fbp1
Fbp2
G6pc
Galm
Gapdh
Gapdhs
Gck
Gpi1
Hk1
Hk2
Hk3
Hkdc1
Ldha
Ldhal6b
Ldhb
Ldhb-ps
Ldhc
Pank1
Pck1
Pck2
Pdha1
Pdha2
Pdhb
Pfkfb1
Pfkfb2
Pfkfb3
Pfkfb4
Pfkl
Pfkm
Pfkp
Pgam1
Pgam2
Pgk1
Pgk2
Pgm1
Pgm2
Pklr
Pkm
Slc2a2
Tpi1
