Gene
Nars
Nufip1
Nup43
Slc19a1
Ncl
Exosc7
Surf2
Psmg1
Mettl1
Aen
1110004E09Rik
Lyar
Psme3
Tsr1
Shmt1
Bcat1
Ccnd2
Ndufaf4
Slc40a1
Heatr3
Aimp2
Ttc27
Fam136a
Vcam1
Ccnd2
Nop56
C1qa
Mki67ip
Aimp2
Plscr1
Rrp1b
Mfsd2a
Cirh1a
C1qb
Mrto4
Ccnd2
Wdr75
Hsp90aa1
Gcsh
Fam195a
Timm10
Fabp5
Srm
C1qc
2610528E23Rik
LOC100047619
Ccnd2
Saa3
Utp15
Atic
Shmt1
Thyn1
2700023E23Rik
Ddx18
Il1r2
Timm9
Csda
Rcl1
Grwd1
Nolc1
Gm12816
Rpf2
1810029B16Rik
Gstt1
Tsr1
Tomm5
Cct6a
Nhp2
Chchd4
Mogs
Irf4
Fscn1
Gm7901
Slc19a1
Plscr1
Pa2g4
Hspd1
LOC100047009
Ebna1bp2
Phb
Matr3
Gar1
Rcc1
Nop58
Slc19a1
Gnl3
Tsen2
Ndufaf4
Emr4
Gstt2
Slpi
Abcg2
Nop16
Ppp1r14b
Lap3
Prdx6
Shmt2
Ppp1r14b
Gm14005
Nolc1
Lpl
Matr3
Wdr12
Batf
C1qbp
---
1110004E09Rik
Ccnd2
Uck2
Spire1
LOC100048307
Htra2
Ddx18
Psmd7
Tuba4a
2610201A13Rik
Ccnd2
Noc4l
Rpp40
Asns
Lyz1
Rangrf
Sub1
Endog
Dctd
Bsn
Rsl1d1
Nt5dc2
Nhp2
2010204K13Rik
Fam185a
Pecr
Uck2
Socs3
Acy1
Zmynd19
Socs3
Prmt1
Smyd2
Fabp5
Fbl
Grwd1
Ddt
Pno1
Ccnd2
Pa2g4
Grwd1
Aprt
Hk2
Ccdc86
Ece2
Apex1
Socs2
Znhit6
Atad3a
Hspa9
Timd2
Ppa1
Mif
Ctps
Apex1
Mrps18b
Il10
Mettl1
Tuba4a
Ncl
Nop16
Mrps6
Hsp90b1
Tcfap4
Eif2b3
Shmt1
Ranbp1
Asns
Gsr
Noc4l
Dctpp1
LOC639633
2610019E17Rik
Uck2
Adm
Tmem158
Cd70
Polr1b
Myc
C1qbp
Ppat
Pycr1
Spr
