Gene
Abcd1
Actn3
Afg1l
Ak4
Antkmt
Apoc3
Atp5a1
Atp5b
Atp5c1
Atp5d
Atp5h
Atp5j
Atp5j2
Atp5l
Atp5o
Atp5pb
Atp7a
Atpsckmt
Bdnf
Bid
Ccnb1
Cdk1
Chchd2
Chchd10
Coq7
Coq9
Cox4i1
Cox4i2
Cox5a
Cox5b
Cox6a1
Cox6a2
Cox7a1
Cox7a2
Cox7a2l
Cox7c
Cyc1
Cycs
Cyct
Dguok
Dld
Dnajc15
Dnajc30
Fxn
Gadd45gip1
Iscu
Lexm
Mlxipl
Msh2
mt-Atp6
mt-Co1
mt-Co2
mt-Co3
mt-Cytb
mt-Nd1
mt-Nd2
mt-Nd3
mt-Nd4
mt-Nd4l
mt-Nd5
mt-Nd6
Mtch2
Myc
Myog
Ndufa7
Ndufa8
Ndufa10
Ndufa12
Ndufaf1
Ndufb6
Ndufb8
Ndufb9
Ndufc2
Ndufs1
Ndufs2
Ndufs3
Ndufs6
Ndufs7
Ndufs8
Ndufv1
Ndufv2
Ndufv3
Nipsnap2
Nupr1
Park7
Pde2a
Pde12
Pink1
Ppif
Rhoa
Sdha
Sdhaf2
Sdhc
Sdhd
Shmt2
Slc25a23
Slc25a33
Snca
Stoml2
Surf1
Taz
Tefm
Tnf
Uqcc2
Uqcc3
Uqcr10
Uqcrb
Uqcrc1
Uqcrh
Uqcrq
Vcp
