Gene
Cdca7
Mcm4
Mcm2
Rfc2
Ung
Mcm6
Rrm1
Slbp
Pcna
Atad2
Tipin
Mcm5
Uhrf1
Rpa2
Dtl
Prim1
Fen1
Hells
Gmnn
Pold3
Nasp
Chaf1b
Gins2
Pola1
Msh2
Casp8ap2
Cdc6
Ubr7
Ccne2
Wdr76
Tyms
Cdc45
Clspn
Rrm2
Dscc1
Rad51
Usp1
Exo1
Blm
Rad51ap1
Mlf1ip
E2f8
Brip1
